sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.12345,,,,,,28-38-28,post,0.056768,,,,
28-38-28,pre,0.0383048,,,,,,28-38-28,post,0.244653,,,,
28-38-28,pre,0.0865372,,,,,,28-38-28,post,0.0410225,,,,
28-38-28,pre,0.0294084,,,,,,28-38-28,post,0.024092,,,,
28-38-28,pre,0.0437353,,,,,,28-38-28,post,0.085278,,,,
28-38-28,pre,0.0585704,,,,,,28-38-28,post,0.0276338,,,,
28-38-28,pre,0.0854039,,,,,,28-38-28,post,0.0510713,,,,
28-38-28,pre,0.0622267,,,,,,28-38-28,post,0.155154,,,,
28-38-28,pre,0.0947189,,,,,,28-38-28,post,0.0975557,,,,
28-38-28,pre,0.0366752,,,,,,28-38-28,post,0.502356,,,,
28-38-28,pre,0.148325,,,,,,28-38-28,post,0.0637181,,,,
28-38-28,pre,0.0318541,,,,,,28-38-28,post,0.0695399,,,,
28-38-28,pre,0.0614407,,,,,,28-38-28,post,0.0358444,,,,
28-38-28,pre,1.12121,,,,,,28-38-28,post,0.0517207,,,,
28-38-28,pre,0.0564539,,,,,,28-38-28,post,0.0603885,,,,
28-38-28,pre,0.0528402,,,,,,28-38-28,post,0.0986905,,,,
28-38-28,pre,0.0763011,,,,,,28-38-28,post,0.0626942,,,,
28-38-28,pre,0.0277585,,,,,,28-38-28,post,0.186326,,,,
28-38-28,pre,0.0249025,,,,,,28-38-28,post,0.108342,,,,
28-38-28,pre,0.11125,,,,,,28-38-28,post,0.0329055,,,,
28-38-28,pre,0.0601487,,,,,,28-38-28,post,0.0608397,,,,
28-38-28,pre,0.0875048,,,,,,28-38-28,post,0.190699,,,,
28-38-28,pre,0.0347624,,,,,,28-38-28,post,0.0348218,,,,
28-38-28,pre,0.245857,,,,,,28-38-28,post,0.0414188,,,,
28-38-28,pre,0.0621477,,,,,,28-38-28,post,0.0498759,,,,
28-38-28,pre,0.149971,,,,,,28-38-28,post,0.369633,,,,
28-38-28,pre,0.0567674,,,,,,28-38-28,post,0.06259,,,,
28-38-28,pre,0.0502969,,,,,,28-38-28,post,0.0426552,,,,
28-38-28,pre,0.0396565,,,,,,28-38-28,post,0.0278719,,,,
28-38-28,pre,0.0355908,,,,,,28-38-28,post,0.0249025,,,,
28-38-28,pre,0.0408135,,,,,,28-38-28,post,0.35998,,,,
28-38-28,pre,0.041566,,,,,,28-38-28,post,0.135247,,,,
28-38-28,pre,0.0470925,,,,,,28-38-28,post,0.068676,,,,
28-38-28,pre,0.0439034,,,,,,28-38-28,post,0.0825538,,,,
28-38-28,pre,0.0452785,,,,,,28-38-28,post,0.0931391,,,,
28-38-28,pre,0.0405989,,,,,,28-38-28,post,0.0657592,,,,
28-38-28,pre,0.0464827,,,,,,28-38-28,post,0.0976929,,,,
28-38-28,pre,0.0970457,,,,,,28-38-28,post,0.0621902,,,,
28-38-28,pre,0.0762143,,,,,,28-38-28,post,0.105336,,,,
28-38-28,pre,0.206125,,,,,,28-38-28,post,0.053536,,,,
28-38-28,pre,0.0494358,,,,,,28-38-28,post,0.04739,,,,
28-38-28,pre,0.0453214,,,,,,28-38-28,post,0.0552741,,,,
28-38-28,pre,0.05195,,,,,,28-38-28,post,0.0470312,,,,
28-38-28,pre,0.0445849,,,,,,28-38-28,post,0.136728,,,,
28-38-28,pre,0.0282382,,,,,,28-38-28,post,0.0243165,,,,
28-38-28,pre,0.0402689,,,,,,28-38-28,post,0.0441001,,,,
28-38-28,pre,0.500984,,,,,,28-38-28,post,0.0522421,,,,
28-38-28,pre,0.0507999,,,,,,28-38-28,post,0.0240317,,,,
28-38-28,pre,0.281123,,,,,,28-38-28,post,0.0453377,,,,
28-38-28,pre,0.0324781,,,,,,28-38-28,post,0.0273181,,,,
28-38-28,pre,0.0770873,,,,,,28-38-28,post,0.0480473,,,,
28-38-28,pre,0.244004,,,,,,28-38-28,post,0.027641,,,,
28-38-28,pre,0.0759391,,,,,,28-38-28,post,0.0811892,,,,
28-38-28,pre,0.0652019,,,,,,28-38-28,post,0.0814207,,,,
28-38-28,pre,0.0845962,,,,,,28-38-28,post,0.113197,,,,
28-38-28,pre,0.0613359,,,,,,28-38-28,post,0.0485715,,,,
28-38-28,pre,0.0332523,,,,,,28-38-28,post,0.105923,,,,
28-38-28,pre,0.0701973,,,,,,28-38-28,post,0.0317352,,,,
28-38-28,pre,0.039811,,,,,,28-38-28,post,0.0441287,,,,
28-38-28,pre,0.0401836,,,,,,28-38-28,post,0.0284957,,,,
28-38-28,pre,0.073617,,,,,,28-38-28,post,0.038346,,,,
