,site,top,bottom,moisture,ftc,length_3d_mm,width_3d_mm,area_3d_mm,vol_3d_mm,eq_diam_mm,eq_sa_mm,pore_shape_factor
171,tool,40,50,0.16,before,0.0478494,0.0215651,0.00263541,1.21E-05,0.0284732,0.002546962,0.96643854
172,tool,40,50,0.16,before,0.0534492,0.0216658,0.00144217,5.49E-06,0.0218925,0.001505707,1.044056814
173,tool,40,50,0.16,before,0.0425032,0.0218498,0.00116186,4.40E-06,0.0203232,0.00129758,1.11681247
174,tool,40,50,0.16,before,0.0879065,0.0218637,0.00305605,1.21E-05,0.0284732,0.002546962,0.83341627
175,tool,40,50,0.16,before,0.0738619,0.0221668,0.00401827,1.76E-05,0.032261,0.003269682,0.81370392
176,tool,40,50,0.16,before,0.053517,0.0223562,0.0021887,8.79E-06,0.0256056,0.002059775,0.941095179
177,tool,40,50,0.16,before,0.0445346,0.0225953,0.00203417,8.79E-06,0.0256056,0.002059775,1.012587452
178,tool,40,50,0.16,before,0.0749559,0.0225953,0.00282456,1.10E-05,0.0275828,0.002390158,0.846205354
179,tool,40,50,0.16,before,0.0500973,0.0225953,0.00228039,9.89E-06,0.0266309,0.002228033,0.977040199
180,tool,40,50,0.16,before,0.0942022,0.0227304,0.00452194,1.98E-05,0.0335528,0.003536775,0.782136608
181,tool,40,50,0.16,before,0.0500973,0.0232565,0.00192021,7.69E-06,0.0244909,0.00188434,0.981319967
182,tool,40,50,0.16,before,0.0972081,0.0232967,0.00566759,2.64E-05,0.0369297,0.004284513,0.755967294
183,tool,40,50,0.16,before,0.0357086,0.0233455,0.001478,6.59E-06,0.0232642,0.001700302,1.150407446
184,tool,40,50,0.16,before,0.0357086,0.0233455,0.001478,6.59E-06,0.0232642,0.001700302,1.150407446
185,tool,40,50,0.16,before,0.0553141,0.0234263,0.00203931,8.79E-06,0.0256056,0.002059775,1.010035266
186,tool,40,50,0.16,before,0.0526854,0.0235061,0.00268856,1.21E-05,0.0284732,0.002546962,0.947333068
187,tool,40,50,0.16,before,0.0382029,0.0235116,0.00173603,7.69E-06,0.0244909,0.00188434,1.08543079
188,tool,40,50,0.16,before,0.0421,0.0235962,0.0016622,6.59E-06,0.0232642,0.001700302,1.022922757
189,tool,40,50,0.16,before,0.0468525,0.02363,0.00193752,7.69E-06,0.0244909,0.00188434,0.972552755
190,tool,40,50,0.16,before,0.0538639,0.0239146,0.00189882,7.69E-06,0.0244909,0.00188434,0.99237443
191,tool,40,50,0.16,before,0.0431302,0.0239825,0.00195536,7.69E-06,0.0244909,0.00188434,0.963679534
192,tool,40,50,0.16,before,0.0475451,0.0241411,0.00188559,7.69E-06,0.0244909,0.00188434,0.999337297
193,tool,40,50,0.16,before,0.0609686,0.0241441,0.00313165,1.32E-05,0.0293111,0.00269907,0.861868263
194,tool,40,50,0.16,before,0.095972,0.0242541,0.00436367,1.87E-05,0.0329196,0.003404544,0.780202023
195,tool,40,50,0.16,before,0.112942,0.0242799,0.00488571,2.09E-05,0.034163,0.003666586,0.750471475
196,tool,40,50,0.16,before,0.0710351,0.0244624,0.0031368,1.43E-05,0.0301037,0.002847014,0.907617368
197,tool,40,50,0.16,before,0.0303493,0.0245343,0.00109573,4.40E-06,0.0203232,0.00129758,1.184214849
198,tool,40,50,0.16,before,0.0530572,0.0246556,0.0026529,1.32E-05,0.0293111,0.00269907,1.0174035
199,tool,40,50,0.16,before,0.0526536,0.0247206,0.00192536,7.69E-06,0.0244909,0.00188434,0.978695109
