site,sample,trmt,breadth_mm3,Pc
tool,28_38_28,after,0.0742097,-0.048438447
tool,28_38_28,before,0.0740544,-0.04842934
tool,28_38_28,after,0.0739676,-0.048424251
tool,28_38_28,after,0.0739317,-0.048422146
tool,28_38_28,after,0.0739119,-0.048420986
tool,28_38_28,after,0.0739049,-0.048420575
tool,28_38_12,after,0.0738714,-0.048418612
tool,28_38_28,after,0.0738299,-0.04841618
tool,28_38_12,after,0.0737571,-0.048411914
tool,41_50_28,before,0.073716,-0.048409506
tool,28_38_28,after,0.0736945,-0.048408246
tool,41_50_16,before,0.0736709,-0.048406864
tool,41_50_28,before,0.0736708,-0.048406858
tool,41_50_28,before,0.0736637,-0.048406442
tool,28_38_28,before,0.073617,-0.048403706
tool,40_50_28,after,0.073577,-0.048401363
tool,40_50_16,before,0.0735205,-0.048398055
tool,41_50_16,before,0.0735086,-0.048397358
tool,41_50_16,before,0.0734969,-0.048396673
tool,41_50_16,before,0.0734944,-0.048396526
tool,28_38_28,before,0.0734836,-0.048395894
tool,28_38_28,after,0.0734554,-0.048394243
tool,41_50_16,before,0.073304,-0.04838538
tool,41_50_16,before,0.0732603,-0.048382822
tool,41_50_28,before,0.073247,-0.048382044
tool,41_50_28,before,0.0732291,-0.048380996
tool,28_38_12,after,0.073191,-0.048378767
tool,41_50_16,before,0.0731131,-0.048374209
tool,28_38_28,after,0.0731072,-0.048373864
tool,41_50_16,before,0.0730887,-0.048372782
tool,41_50_16,before,0.0730779,-0.04837215
tool,40_50_16,before,0.0730707,-0.048371729
tool,40_50_16,before,0.0730675,-0.048371542
tool,28_38_28,after,0.07306,-0.048371103
tool,41_50_28,before,0.0729464,-0.048364459
tool,41_50_16,before,0.0729392,-0.048364038
tool,41_50_28,before,0.0728655,-0.048359729
tool,28_38_28,before,0.0727759,-0.048354491
tool,41_50_16,before,0.0727734,-0.048354345
tool,41_50_16,before,0.0727376,-0.048352252
tool,28_38_28,before,0.0726198,-0.048345368
tool,28_38_12,before,0.0725086,-0.048338871
tool,28_38_28,before,0.07246,-0.048336032
tool,41_50_28,before,0.0723897,-0.048331926
tool,41_50_16,before,0.0723842,-0.048331605
tool,28_38_28,after,0.0723286,-0.048328358
tool,41_50_28,before,0.0722932,-0.048326291
tool,28_38_28,after,0.0722532,-0.048323956
tool,40_50_16,before,0.0722323,-0.048322736
tool,41_50_28,before,0.0721932,-0.048320454
tool,28_38_28,before,0.0721927,-0.048320424
tool,41_50_16,before,0.0721637,-0.048318732
tool,40_50_28,before,0.0721039,-0.048315241
tool,28_38_28,before,0.072047,-0.048311921
tool,40_50_16,before,0.0720292,-0.048310882
tool,41_50_16,before,0.0719126,-0.04830408
tool,28_38_28,before,0.0719029,-0.048303514
