site,sample,trmt,breadth_mm3,Pc
tool,41_50_16,before,0.124436,-0.05157537
tool,28_38_28,after,0.123887,-0.051538887
tool,41_50_16,before,0.123686,-0.051525542
tool,28_38_28,before,0.12345,-0.051509883
tool,41_50_28,before,0.123358,-0.051503782
tool,28_38_28,after,0.123275,-0.051498278
tool,28_38_28,after,0.123193,-0.051492842
tool,41_50_16,before,0.123007,-0.051480515
tool,28_38_12,before,0.12278,-0.05146548
tool,41_50_16,before,0.12255,-0.051450254
tool,28_38_28,before,0.122492,-0.051446416
tool,28_38_12,before,0.122379,-0.05143894
tool,41_50_16,before,0.122348,-0.05143689
tool,41_50_16,before,0.122246,-0.051430144
tool,41_50_16,before,0.122041,-0.051416591
tool,28_38_12,before,0.121767,-0.051398489
tool,28_38_28,after,0.121635,-0.051389772
tool,41_50_16,before,0.121635,-0.051389772
tool,28_38_28,before,0.121589,-0.051386735
tool,41_50_16,before,0.121303,-0.051367862
tool,28_38_28,after,0.121057,-0.051351639
tool,28_38_12,before,0.120638,-0.051324032
tool,28_38_28,after,0.120625,-0.051323176
tool,40_50_16,before,0.120526,-0.051316657
tool,41_50_16,before,0.120496,-0.051314682
tool,41_50_28,before,0.120103,-0.051288824
tool,41_50_28,before,0.119989,-0.051281328
tool,28_38_28,after,0.119887,-0.051274623
tool,41_50_16,before,0.119449,-0.051245851
tool,41_50_16,before,0.119032,-0.051218488
tool,28_38_28,before,0.118761,-0.051200721
tool,28_38_28,after,0.118493,-0.051183163
tool,28_38_12,after,0.118488,-0.051182835
tool,41_50_16,before,0.118364,-0.051174716
tool,28_38_28,after,0.118359,-0.051174388
tool,41_50_28,before,0.118256,-0.051167646
tool,41_50_28,before,0.118209,-0.05116457
tool,41_50_28,before,0.11805,-0.051154166
tool,28_38_28,after,0.117922,-0.051145794
tool,28_38_28,after,0.117843,-0.051140628
tool,28_38_28,after,0.117666,-0.051129057
tool,28_38_28,after,0.11756,-0.051122131
tool,28_38_12,before,0.117503,-0.051118407
tool,28_38_28,before,0.117318,-0.051106324
