sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,6.92E-05,0.0833773,0.013218,0.00005,0.496552356
40-50-16,before,0.000162634,0.129384,0.026527,0.000142,0.496197856
40-50-16,before,0.000128569,0.0860669,0.021421,0.000103,0.496061893
40-50-16,before,0.000113185,0.0704202,0.017966,0.000079,0.495584205
40-50-16,before,5.71E-05,0.0941427,0.011617,0.000041,0.494970565
40-50-16,before,7.25E-05,0.043782,0.013262,0.00005,0.494904919
40-50-16,before,2.53E-05,0.0350596,0.003577,0.000007,0.494725023
40-50-16,before,6.81E-05,0.0570205,0.011868,0.000042,0.492348683
40-50-16,before,2.86E-05,0.0448562,0.005457,0.000013,0.489958247
40-50-16,before,8.79E-06,0.0304826,0.000991,0.000001,0.487989492
40-50-16,before,8.90E-05,0.0720292,0.014916,0.000058,0.48579206
40-50-16,before,7.91E-05,0.07579,0.014695,0.000056,0.481696198
40-50-16,before,6.04E-05,0.0655033,0.011229,0.000037,0.478201417
40-50-16,before,8.24E-05,0.0497597,0.013941,0.000051,0.477057046
40-50-16,before,8.24E-05,0.0948288,0.014686,0.000055,0.476236188
40-50-16,before,0.000135162,0.103181,0.022193,0.000102,0.475701907
40-50-16,before,4.73E-05,0.0693367,0.010035,0.000031,0.475562802
40-50-16,before,7.80E-05,0.0639184,0.015423,0.000059,0.475207486
40-50-16,before,0.000151646,0.106949,0.024132,0.000114,0.471151642
40-50-16,before,0.000112086,0.0506268,0.020618,0.00009,0.471048829
40-50-16,before,5.82E-05,0.0427814,0.010226,0.000031,0.466680297
40-50-16,before,7.69E-06,0.0223203,0.001039,0.000001,0.465445223
40-50-16,before,3.30E-05,0.06578,0.006044,0.000014,0.464777425
40-50-16,before,9.89E-05,0.0645325,0.018367,0.000074,0.464088042
40-50-16,before,5.05E-05,0.0730675,0.008923,0.000025,0.463375681
40-50-16,before,8.68E-05,0.0593327,0.015478,0.000057,0.462756491
40-50-16,before,7.47E-05,0.0684146,0.013435,0.000046,0.462116712
40-50-16,before,4.51E-05,0.0458062,0.007733,0.00002,0.46077557
40-50-16,before,0.000102196,0.0730707,0.019583,0.00008,0.458491785
40-50-16,before,1.32E-05,0.0282964,0.001676,0.000002,0.458033005
40-50-16,before,8.79E-06,0.0273604,0.001067,0.000001,0.453231102
40-50-16,before,1.65E-05,0.0487562,0.002238,0.000003,0.449474315
40-50-16,before,0.000124174,0.0746077,0.023668,0.000103,0.448966614
